team_h,team_a,gol_h,gol_a,giornata
Roma,Chievo Verona,3,0,37
Carpi,Lazio,1,3,37
Frosinone,Sassuolo,0,1,37
Verona,Juventus,2,1,37
Bologna,Milan,0,1,37
Sampdoria,Genoa,0,3,37
Fiorentina,Palermo,0,0,37
Atalanta,Udinese,1,1,37
Torino,Napoli,1,2,37
Juventus,Sampdoria,5,0,38
Sassuolo,Inter,3,1,38
Genoa,Atalanta,1,2,38
Empoli ,Torino,2,1,38
Lazio,Fiorentina,2,4,38
Napoli,Frosinone,4,0,38
Milan,Roma,1,3,38
Chievo Verona,Bologna,0,0,38
Udinese,Carpi,1,2,38
Palermo,Verona,3,2,38
